1970-01-01 01:01:32 status installed libfile-fcntllock-perl:armhf 0.22-1+b1
1970-01-01 01:01:33 remove libfile-fcntllock-perl:armhf 0.22-1+b1 <none>
1970-01-01 01:01:33 status half-configured libfile-fcntllock-perl:armhf 0.22-1+b1
1970-01-01 01:01:33 status half-installed libfile-fcntllock-perl:armhf 0.22-1+b1
1970-01-01 01:01:34 status config-files libfile-fcntllock-perl:armhf 0.22-1+b1
1970-01-01 01:01:34 status config-files libfile-fcntllock-perl:armhf 0.22-1+b1
1970-01-01 01:01:34 status config-files libfile-fcntllock-perl:armhf 0.22-1+b1
1970-01-01 01:01:34 status not-installed libfile-fcntllock-perl:armhf <none>
1970-01-01 01:01:34 status installed libisccc90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:34 remove libisccc90:armhf 1:9.9.5.dfsg-9+deb8u6 <none>
1970-01-01 01:01:34 status half-configured libisccc90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:34 status half-installed libisccc90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:35 status config-files libisccc90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:35 status config-files libisccc90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:35 status installed libisc95:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:35 remove libisc95:armhf 1:9.9.5.dfsg-9+deb8u6 <none>
1970-01-01 01:01:35 status half-configured libisc95:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:36 status half-installed libisc95:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:36 status config-files libisc95:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:37 status config-files libisc95:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:37 status installed liblwres90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:37 remove liblwres90:armhf 1:9.9.5.dfsg-9+deb8u6 <none>
1970-01-01 01:01:37 status half-configured liblwres90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:37 status half-installed liblwres90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:38 status config-files liblwres90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:38 status config-files liblwres90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:38 status installed libopts25:armhf 1:5.18.4-3
1970-01-01 01:01:38 remove libopts25:armhf 1:5.18.4-3 <none>
1970-01-01 01:01:38 status half-configured libopts25:armhf 1:5.18.4-3
1970-01-01 01:01:38 status half-installed libopts25:armhf 1:5.18.4-3
1970-01-01 01:01:38 status config-files libopts25:armhf 1:5.18.4-3
1970-01-01 01:01:38 status config-files libopts25:armhf 1:5.18.4-3
1970-01-01 01:01:38 status installed libtimedate-perl:all 2.3000-2
1970-01-01 01:01:39 remove libtimedate-perl:all 2.3000-2 <none>
1970-01-01 01:01:39 status half-configured libtimedate-perl:all 2.3000-2
1970-01-01 01:01:39 status half-installed libtimedate-perl:all 2.3000-2
1970-01-01 01:01:39 status config-files libtimedate-perl:all 2.3000-2
1970-01-01 01:01:39 status config-files libtimedate-perl:all 2.3000-2
1970-01-01 01:01:39 status config-files libtimedate-perl:all 2.3000-2
1970-01-01 01:01:39 status not-installed libtimedate-perl:all <none>
1970-01-01 01:01:39 trigproc man-db:armhf 2.7.0.2-5 <none>
1970-01-01 01:01:39 status half-configured man-db:armhf 2.7.0.2-5
1970-01-01 01:02:10 status installed man-db:armhf 2.7.0.2-5
1970-01-01 01:02:10 trigproc install-info:armhf 5.2.0.dfsg.1-6 <none>
1970-01-01 01:02:10 status half-configured install-info:armhf 5.2.0.dfsg.1-6
1970-01-01 01:02:10 status installed install-info:armhf 5.2.0.dfsg.1-6
1970-01-01 01:02:10 trigproc libc-bin:armhf 2.19-18+deb8u4 <none>
1970-01-01 01:02:10 status half-configured libc-bin:armhf 2.19-18+deb8u4
1970-01-01 01:02:10 status installed libc-bin:armhf 2.19-18+deb8u4
1970-01-01 01:02:11 startup packages configure
